rn,user_link,net_token_amount,shares_amount,avg_price,avg_price_usd,per_of_total_share,per_of_total_share_cum
1,"<a href=https://debank.com/profile/0xe1880b5348fc0bad7a4d81cfdd0140cff530b174 target=_blank"">0xe1880b5348fc0bad7a4d81cfdd0140cff530b174</a>",66.38449356506361,1.184747653328257e+06,5.603260186131005e-05,0.1408631594492404,0.03019878293493613,0.03019878293493613
2,"<a href=https://debank.com/profile/0xd8d5b0f7219aed171efb5ae2ac3b9941206f7349 target=_blank"">0xd8d5b0f7219aed171efb5ae2ac3b9941206f7349</a>",57.993771301709515,1.0740192828588572e+06,5.399695538737436e-05,0.13574564599608976,0.027376357403937325,0.057575140338873454
3,"<a href=https://debank.com/profile/0x7fed55c6ae91c2945980854b927e40a3b9c78377 target=_blank"">0x7fed55c6ae91c2945980854b927e40a3b9c78377</a>",51,886826.7398322785,5.750841478871668e-05,0.14457327935809428,0.022604888173322967,0.08018002851219642
4,"<a href=https://debank.com/profile/0x6591404d0961b21e3796c4a1e15976efd54a9d67 target=_blank"">0x6591404d0961b21e3796c4a1e15976efd54a9d67</a>",42.9537009785572,695613.8385559334,6.174934798267868e-05,0.15523477336105504,0.017730941486210343,0.09791096999840676
5,"<a href=https://debank.com/profile/0xef466f6ddfc6dd9f2db267e943c6b8a292653d36 target=_blank"">0xef466f6ddfc6dd9f2db267e943c6b8a292653d36</a>",40,679915.6190624579,5.883082970671622e-05,0.14789776434119925,0.017330799631852856,0.11524176963025962
6,"<a href=https://debank.com/profile/0xc9ae00a85a5dcecf8675f768c17165e37e7cbcac target=_blank"">0xc9ae00a85a5dcecf8675f768c17165e37e7cbcac</a>",35.46839470239713,666737.7225642042,5.319692212102437e-05,0.1337344023661492,0.016994899885799882,0.1322366695160595
7,"<a href=https://debank.com/profile/0x1ab0c7a25642329bd60e7ae1467d51cac92a1a36 target=_blank"">0x1ab0c7a25642329bd60e7ae1467d51cac92a1a36</a>",33.8,602906.6936925005,5.606174280964105e-05,0.1409364183362971,0.015367870382939039,0.14760453989899855
8,"<a href=https://debank.com/profile/0x428133152bc9c0b53f96f6e2e076e559f32ce8eb target=_blank"">0x428133152bc9c0b53f96f6e2e076e559f32ce8eb</a>",29.5,536113.7131422233,5.502563966718395e-05,0.13833170684131707,0.013665341818692655,0.16126988171769122
9,"<a href=https://debank.com/profile/0xb885b6771dd2638b79868246f296672673ab9d79 target=_blank"">0xb885b6771dd2638b79868246f296672673ab9d79</a>",28.962735011707785,490787.2771615855,5.901280729853185e-05,0.14835524690814414,0.012509987598282727,0.17377986931597394
10,"<a href=https://debank.com/profile/0x5f6a5a740fb8d2711201b2472923fe05fe620995 target=_blank"">0x5f6a5a740fb8d2711201b2472923fe05fe620995</a>",24.54614552027533,451109.6121029466,5.441281866251548e-05,0.1367911054766308,0.01149861847583303,0.18527848779180697
12,"<a href=https://debank.com/profile/0xcf7e9856ec92b3f3ae645c195afe36581283f2e4 target=_blank"">0xcf7e9856ec92b3f3ae645c195afe36581283f2e4</a>",22,424017.30879183876,5.188467438436665e-05,0.13043547716857853,0.01080804560607364,0.19608653339788062
11,"<a href=https://debank.com/profile/0x54a3277430f550ed8c06919cb17caf333b205b7c target=_blank"">0x54a3277430f550ed8c06919cb17caf333b205b7c</a>",23.5,391818.7230603119,5.997671529439059e-05,0.1507784634143332,0.00998731547119073,0.20607384886907135
19,"<a href=https://debank.com/profile/0x2e8edd176f41e492948f668690012daf39f572b0 target=_blank"">0x2e8edd176f41e492948f668690012daf39f572b0</a>",20,388737.01642721065,5.144866363336128e-05,0.1293393679410886,0.009908763899958884,0.21598261276903022
22,"<a href=https://debank.com/profile/0x6db5630277feb2954ee0ae3e09e8accce3f1f955 target=_blank"">0x6db5630277feb2954ee0ae3e09e8accce3f1f955</a>",16.8,386807.9115820271,4.343241049876346e-05,0.10918690837336639,0.009859591725348726,0.22584220449437895
16,"<a href=https://debank.com/profile/0x45a5341248544a4e880860028550166d3ea27d88 target=_blank"">0x45a5341248544a4e880860028550166d3ea27d88</a>",20,382141.8499272874,5.233658654189676e-05,0.13157156173700135,0.00974065552600141,0.23558286002038037
14,"<a href=https://debank.com/profile/0x46e9d23e8e5cdb3bd566760db5795045d14283f6 target=_blank"">0x46e9d23e8e5cdb3bd566760db5795045d14283f6</a>",20.9,380834.43166778574,5.4879491616534687e-05,0.13796429794938736,0.009707329914329637,0.24529018993471
15,"<a href=https://debank.com/profile/0x091bdd0d200617ec53b95f5b60e4f537e151ad13 target=_blank"">0x091bdd0d200617ec53b95f5b60e4f537e151ad13</a>",20.16470953440097,371157.2836192543,5.432928417238502e-05,0.13658110394516731,0.009460662961644929,0.2547508528963549
13,"<a href=https://debank.com/profile/0x05d93d478ef15d82fa24088c2d4393a345ea73d0 target=_blank"">0x05d93d478ef15d82fa24088c2d4393a345ea73d0</a>",21.888181024784917,363050.2140612947,6.028967943560964e-05,0.15156523961715085,0.009254016733537635,0.26400486962989256
